id,time,today,yesterday,total
-N_-7NgKXCwpkBtCRsrM,2023-07-10T15:08:04,0.436,0.558,422.59698
-N_-EF8JvuI7Rhf5w8L_,2023-07-10T15:38:04,0.481,0.558,422.64398
-N_-L6aoEDDvce5D667A,2023-07-10T16:08:04,0.495,0.558,422.65704
-N_-Rz3fl55E-oCwFwsQ,2023-07-10T16:38:04,0.521,0.558,422.68201
-N_-YqWYPgxEp0Pds3Eo,2023-07-10T17:08:04,0.538,0.558,422.70001
-N_-ehyuQ9vwLuM1n--f,2023-07-10T17:38:04,0.554,0.558,422.71698
-N_-l_Z5mfzq4ugVzBuo,2023-07-10T18:08:04,0.57,0.558,422.733
-N_-sRuwiXT_Znm3FhQ5,2023-07-10T18:38:04,0.587,0.558,422.74899
-N_-zJLo_2tVYleOqe4M,2023-07-10T19:08:04,0.602,0.558,422.76398
-N_05AoYyHh2vXznKyvT,2023-07-10T19:38:04,0.616,0.558,422.77896
-N_0IujP4xqrHHEvIWxW,2023-07-10T20:38:04,0.647,0.558,422.80902
-N_0PmAqcOcYsUSyXHfd,2023-07-10T21:08:04,0.662,0.558,422.82401
-N_0WddLRW3hB6lZ3Scm,2023-07-10T21:38:04,0.677,0.558,422.84003
-N_0cW5N3t0iuTNdkRt4,2023-07-10T22:08:04,0.693,0.558,422.85602
-N_0jNYmp6qxNQUkx8wT,2023-07-10T22:38:04,0.709,0.558,422.871
-N_0qF-uTW_a5FHrsfav,2023-07-10T23:08:04,0.723,0.558,422.88596
-N_0x6T4_Q6kMUMkWFEO,2023-07-10T23:38:04,0.739,0.558,422.90201
-N_12ywI-DYDX5LtDh1R,2023-07-11T00:08:04,0.005,0.752,422.91901
